╔══════════════════════════════════════════════════════════╗
║  岱境235 金融数据流转压测 — tidb_adapter.go 直压          ║
╠══════════════════════════════════════════════════════════╣
║  并发: 20  goroutine    持续: 15m0s             ║
║  目标: MySQL (tidb_adapter → batch INSERT → InnoDB)       ║
╚══════════════════════════════════════════════════════════╝

时间               总发送         TPS       成功/失败     Avg延迟     P99延迟    吞吐MB/s
234s       180173647      557195  180173996/0           12µs       0µs     71.04
235s       180711337      537690  180711339/0            9µs       0µs     70.95
236s       181189261      477924  181189477/0           18µs       0µs     70.84
237s       181800820      611559  181801367/0           21µs       0µs     70.78
238s       182551270      750450  182551630/0            9µs       0µs     70.77
239s       183250000      698730  183264821/0           20µs       0µs     70.74
240s       183932067      682067  183936667/0           19µs       0µs     70.71
241s       184554939      622872  184554940/0           27µs       0µs     70.66
242s       185114297      559358  185114627/0            9µs       0µs     70.58
243s       185917516      803219  185917829/0            5µs       0µs     70.60
244s       186679182      761666  186679182/0           15µs       0µs     70.60
245s       187490218      811036  187490218/0           17µs       0µs     70.61
246s       188153237      663019  188153227/0           15µs       0µs     70.58
247s       188748488      595251  188748553/0            6µs       0µs     70.52
248s       189420423      671935  189420494/0           12µs       0µs     70.48
249s       190198243      777820  190198232/0           10µs       0µs     70.49
250s       191072945      874702  191073239/0            6µs       0µs     70.53
251s       191876518      803573  191877018/0            7µs       0µs     70.54
252s       192587488      710970  192589185/0           13µs       0µs     70.53
253s       193393870      806382  193394306/0            8µs       0µs     70.54
254s       194141779      747909  194141944/0            6µs       0µs     70.54
255s       194936793      795014  194937104/0           12µs       0µs     70.55
256s       195669244      732451  195669400/0            8µs       0µs     70.54
257s       196317104      647860  196317136/0            5µs       0µs     70.50
258s       197022576      705472  197022845/0            8µs       0µs     70.48
259s       197711438      688862  197711878/0            8µs       0µs     70.45
260s       198498828      787390  198498933/0            7µs       0µs     70.46
261s       199326353      827525  199326449/0            8µs       0µs     70.48
262s       199969449      643096  199969779/0            7µs       0µs     70.44
263s       200759819      790370  200760223/0           10µs       0µs     70.46
264s       201596656      836837  201598173/0            5µs       0µs     70.49
265s       202333480      736824  202333609/0           24µs       0µs     70.47
266s       203032288      698808  203032287/0           12µs       0µs     70.46
